case_id,tau_ps,sigma_s_per_m,measurement_mode,measurement_angle_deg,measurement_polarization,noise_dynamic_range_db,weighted_data_fit,data_fit,relative_l2,residual_rms,fit_sigma,max_abs_residual,max_abs_parameter_correlation,mean_abs_parameter_correlation,recovery_error,true_thickness_um,true_eps_inf,true_tau_ps,true_sigma_s_per_m,fit_thickness_um,fit_plasma_freq_thz,fit_gamma_thz,fit_tau_ps,fit_sigma_s_per_m,signed_err_sigma_s_per_m,abs_err_sigma_s_per_m,signed_err_tau_ps,abs_err_tau_ps,signed_err_thickness_um,abs_err_thickness_um,noise_sigma,noise_seed,clean_peak_abs,noise_rms,observed_snr_db,optimizer_stage,initial_objective_value,final_objective_value,objective_improvement_fraction,stuck_to_initial,initial_tau_ps,fit_minus_initial_tau_ps,stuck_to_initial_tau_ps,initial_sigma_s_per_m,fit_minus_initial_sigma_s_per_m,stuck_to_initial_sigma_s_per_m
10,0.475,100.0,transmission,45.0,p,110.0,0.6729659689592465,0.8156170460748603,0.9031151898151533,0.038852591831810834,0.903115189815153,0.3136052666019751,0.844556038403119,0.3616865330034577,0.7999130546637555,725.0,11.7,0.475,100.0,715.0,1.8632784857753386,0.15915494309189535,1.0,1213.5676905536563,-1113.5676905536563,1113.5676905536563,-0.525,0.525,10.0,10.0,1.2341704352054334e-06,1010.0,0.3902789596090428,1.2315067957249564e-06,90.86480717105096,local,1.3296462161385654,0.6729659689592465,0.49387591917975626,False,0.316,0.6839999999999999,False,316.22776601683796,897.3399245368184,False
11,0.5125,100.0,transmission,45.0,p,110.0,4.894289620377757e-11,8.673555478298722e-10,2.9450900628501543e-05,1.3357823414021289e-06,2.9448985622189716e-05,5.380404279118245e-06,0.7571569171311959,0.3424756780346634,7.252365386094537e-07,725.0,11.7,0.5125,100.0,725.0000051719924,0.747134041058313,0.31054554085180835,0.5125011380145489,100.00008041002343,-8.041002342906722e-05,8.041002342906722e-05,-1.138014548929256e-06,1.138014548929256e-06,-5.171992370378575e-06,5.171992370378575e-06,1.275115699702183e-06,1011.0,0.4032269891298185,1.3377555664628917e-06,90.60519460520082,local,1.301479803077517,4.894289620377757e-11,0.9999999999623944,False,0.316,0.19650113801454888,False,316.22776601683796,-216.22768560681453,False
12,0.5499999999999999,100.0,transmission,45.0,p,110.0,0.6910256635187202,0.8201458625192025,0.9056190493354269,0.0429698608563974,0.9056190493354247,0.3535186169211464,0.8437927004177309,0.36059204032783926,0.7789204145311112,725.0,11.7,0.5499999999999999,100.0,715.0,1.8344588184662403,0.15915494309189535,1.0,1176.3170723759417,-1076.3170723759417,1076.3170723759417,-0.45000000000000007,0.45000000000000007,10.0,10.0,1.315642459590477e-06,1012.0,0.4160426758731945,1.282336709653444e-06,91.3643321207902,local,1.2775504407819527,0.6910256635187202,0.4591010722866153,False,0.316,0.6839999999999999,False,316.22776601683796,860.0893063591038,False
13,0.5875,100.0,transmission,45.0,p,110.0,0.6986174127486057,0.8230121204334664,0.9072001545598779,0.04474831610580208,0.9072001545598779,0.37144871569095506,0.8434691475992587,0.36012576020693965,0.770473458870805,725.0,11.7,0.5875,100.0,715.0,1.8225094306650325,0.15915494309189535,1.0,1161.0422801295788,-1061.0422801295788,1061.0422801295788,-0.4125,0.4125,10.0,10.0,1.3504235436914364e-06,1013.0,0.4270414203980846,1.3684769210254486e-06,91.13671597089566,local,1.2573367117330676,0.6986174127486057,0.44436728345770116,False,0.316,0.6839999999999999,False,316.22776601683796,844.8145141127409,False
14,0.625,100.0,transmission,45.0,p,110.0,0.7055584166763752,0.8259897146574746,0.9088397629161451,0.04636454988360699,0.9088397629160538,0.390070711820861,0.8431805918549602,0.35970878946719553,0.7631764320460122,725.0,11.7,0.625,100.0,715.0,1.8119831170919387,0.15915494309189535,1.0,1147.6692891218881,-1047.6692891218881,1047.6692891218881,-0.375,0.375,10.0,10.0,1.3749717776519189e-06,1014.0,0.4348042535830667,1.3551823793113478e-06,91.51402621679026,local,1.2400296223757081,0.7055584166763752,0.4310148693668845,False,0.316,0.6839999999999999,False,316.22776601683796,831.4415231050502,False
15,0.6625,100.0,transmission,45.0,p,110.0,4.437733585816321e-11,6.899758583791244e-10,2.626739154120798e-05,1.3800683764463821e-06,2.6264939855203905e-05,4.97655702715418e-06,0.7571452052985144,0.32763550154236054,2.859239798086603e-06,725.0,11.7,0.6625,100.0,724.9999866750924,0.657132636989061,0.24023557084768296,0.6624953271087597,99.99939223862344,0.0006077613765569367,0.0006077613765569367,4.672891240287136e-06,4.672891240287136e-06,1.332490762706584e-05,1.332490762706584e-05,1.3910149583661484e-06,1015.0,0.4398775527801319,1.3825569385343926e-06,91.59602689124989,local,1.2253108763264442,4.437733585816321e-11,0.9999999999637827,False,0.316,0.3464953271087597,False,316.22776601683796,-216.22837377821452,False
16,0.7,100.0,transmission,45.0,p,110.0,0.717258073765396,0.8318398845765952,0.9120525667836231,0.04917625999153926,0.9120525667836213,0.42256825331904435,0.8426929711663158,0.35900185226584674,0.7514639501114782,725.0,11.7,0.7,100.0,715.0,1.7944697873790925,0.15915494309189535,1.0,1125.5914046834048,-1025.5914046834048,1025.5914046834048,-0.30000000000000004,0.30000000000000004,10.0,10.0,1.4076533884953455e-06,1016.0,0.4451390863699151,1.4473614406572182e-06,91.4231680934917,local,1.2126861364064845,0.717258073765396,0.40853774754049327,False,0.316,0.6839999999999999,False,316.22776601683796,809.3636386665669,False
17,0.7374999999999999,100.0,transmission,45.0,p,110.0,0.7220751460532298,0.8346087112181524,0.9135692153406617,0.050400912262157094,0.9135692153406464,0.436719675992306,0.8424875204773639,0.3587031600220136,0.746819578620736,725.0,11.7,0.7374999999999999,100.0,715.0,1.787192585188435,0.15915494309189535,1.0,1116.4805828766664,-1016.4805828766664,1016.4805828766664,-0.26250000000000007,0.26250000000000007,10.0,10.0,1.4239417151771125e-06,1017.0,0.4502899075286428,1.4484865427191097e-06,91.61563725423973,local,1.201838675052164,0.7220751460532298,0.3991912882801103,False,0.316,0.6839999999999999,False,316.22776601683796,800.2528168598285,False
18,0.7749999999999999,100.0,transmission,45.0,p,110.0,0.7262702008965248,0.837236857392166,0.9150064794263296,0.0515214642703742,0.9150064794263295,0.4496542340378691,0.842303076555026,0.35843460117603976,0.7428464137045708,725.0,11.7,0.7749999999999999,100.0,715.0,1.7807101191206338,0.15915494309189535,1.0,1108.3959236000837,-1008.3959236000837,1008.3959236000837,-0.2250000000000001,0.2250000000000001,10.0,10.0,1.4665007896289502e-06,1018.0,0.4637482685662917,1.45516537367009e-06,91.75303089429897,local,1.1924238245335173,0.7262702008965248,0.3909294782996761,False,0.316,0.6839999999999999,False,316.22776601683796,792.1681575832458,False
19,0.8125,100.0,transmission,45.0,p,110.0,0.7297959089544892,0.8396930175451176,0.9163476510283187,0.05254833635897186,0.9163476510283064,0.4615045057380529,0.8421353832285173,0.3581901056426453,0.7394433761836922,725.0,11.7,0.8125,100.0,715.0,1.7748575885585303,0.15915494309189535,1.0,1101.1221277112911,-1001.1221277112911,1001.1221277112911,-0.1875,0.1875,10.0,10.0,1.5080206766827723e-06,1019.0,0.4768780096945933,1.5434486471773785e-06,91.40011961193865,local,1.1842187941961113,0.7297959089544892,0.3837322017424154,False,0.316,0.6839999999999999,False,316.22776601683796,784.8943616944532,False
