case_id,param_i,param_j,correlation
27,film_gamma_thz,film_plasma_freq_thz,0.07252245216341771
27,film_gamma_thz,film_gamma_thz,1.0
28,film_thickness_um,film_thickness_um,1.0
28,film_thickness_um,film_plasma_freq_thz,0.660524301905394
28,film_thickness_um,film_gamma_thz,-0.5011491218238866
28,film_plasma_freq_thz,film_thickness_um,0.660524301905394
28,film_plasma_freq_thz,film_plasma_freq_thz,1.0
28,film_plasma_freq_thz,film_gamma_thz,0.0038322212501166793
28,film_gamma_thz,film_thickness_um,-0.5011491218238866
28,film_gamma_thz,film_plasma_freq_thz,0.0038322212501166793
28,film_gamma_thz,film_gamma_thz,1.0
29,film_thickness_um,film_thickness_um,1.0
29,film_thickness_um,film_plasma_freq_thz,0.7065069565795903
29,film_thickness_um,film_gamma_thz,-0.4575706248100349
29,film_plasma_freq_thz,film_thickness_um,0.7065069565795903
29,film_plasma_freq_thz,film_plasma_freq_thz,1.0
29,film_plasma_freq_thz,film_gamma_thz,-0.0240279777347247
29,film_gamma_thz,film_thickness_um,-0.4575706248100349
29,film_gamma_thz,film_plasma_freq_thz,-0.0240279777347247
29,film_gamma_thz,film_gamma_thz,1.0
30,film_thickness_um,film_thickness_um,1.0
30,film_thickness_um,film_plasma_freq_thz,0.7341281102838385
30,film_thickness_um,film_gamma_thz,-0.41540011473199134
30,film_plasma_freq_thz,film_thickness_um,0.7341281102838385
30,film_plasma_freq_thz,film_plasma_freq_thz,1.0
30,film_plasma_freq_thz,film_gamma_thz,-0.03131924550423544
30,film_gamma_thz,film_thickness_um,-0.41540011473199134
30,film_gamma_thz,film_plasma_freq_thz,-0.03131924550423544
30,film_gamma_thz,film_gamma_thz,1.0
31,film_thickness_um,film_thickness_um,1.0
31,film_thickness_um,film_plasma_freq_thz,0.7515093488608519
31,film_thickness_um,film_gamma_thz,-0.3755579286284684
31,film_plasma_freq_thz,film_thickness_um,0.7515093488608519
31,film_plasma_freq_thz,film_plasma_freq_thz,1.0
31,film_plasma_freq_thz,film_gamma_thz,-0.02796681966265265
31,film_gamma_thz,film_thickness_um,-0.3755579286284684
31,film_gamma_thz,film_plasma_freq_thz,-0.02796681966265265
31,film_gamma_thz,film_gamma_thz,1.0
32,film_thickness_um,film_thickness_um,1.0
32,film_thickness_um,film_plasma_freq_thz,0.7627166193705132
32,film_thickness_um,film_gamma_thz,-0.3385132031746236
32,film_plasma_freq_thz,film_thickness_um,0.7627166193705132
32,film_plasma_freq_thz,film_plasma_freq_thz,1.0
32,film_plasma_freq_thz,film_gamma_thz,-0.019164512512898822
32,film_gamma_thz,film_thickness_um,-0.3385132031746236
32,film_gamma_thz,film_plasma_freq_thz,-0.019164512512898822
32,film_gamma_thz,film_gamma_thz,1.0
33,film_thickness_um,film_thickness_um,1.0
33,film_thickness_um,film_plasma_freq_thz,0.7699744794413955
33,film_thickness_um,film_gamma_thz,-0.3044275197479035
33,film_plasma_freq_thz,film_thickness_um,0.7699744794413955
33,film_plasma_freq_thz,film_plasma_freq_thz,1.0
33,film_plasma_freq_thz,film_gamma_thz,-0.007751162645989592
33,film_gamma_thz,film_thickness_um,-0.3044275197479035
33,film_gamma_thz,film_plasma_freq_thz,-0.007751162645989592
33,film_gamma_thz,film_gamma_thz,1.0
34,film_thickness_um,film_thickness_um,1.0
34,film_thickness_um,film_plasma_freq_thz,0.7745833797578252
34,film_thickness_um,film_gamma_thz,-0.27327531802427746
34,film_plasma_freq_thz,film_thickness_um,0.7745833797578252
34,film_plasma_freq_thz,film_plasma_freq_thz,1.0
34,film_plasma_freq_thz,film_gamma_thz,0.004688855989335584
34,film_gamma_thz,film_thickness_um,-0.27327531802427746
34,film_gamma_thz,film_plasma_freq_thz,0.004688855989335584
34,film_gamma_thz,film_gamma_thz,1.0
35,film_thickness_um,film_thickness_um,1.0
35,film_thickness_um,film_plasma_freq_thz,0.8463826066204533
35,film_thickness_um,film_gamma_thz,-0.1712328242011771
35,film_plasma_freq_thz,film_thickness_um,0.8463826066204533
35,film_plasma_freq_thz,film_plasma_freq_thz,1.0
35,film_plasma_freq_thz,film_gamma_thz,-0.07519376197039128
35,film_gamma_thz,film_thickness_um,-0.1712328242011771
35,film_gamma_thz,film_plasma_freq_thz,-0.07519376197039128
35,film_gamma_thz,film_gamma_thz,1.0
36,film_thickness_um,film_thickness_um,1.0
36,film_thickness_um,film_plasma_freq_thz,0.8458858549647003
36,film_thickness_um,film_gamma_thz,-0.1706945048603039
36,film_plasma_freq_thz,film_thickness_um,0.8458858549647003
36,film_plasma_freq_thz,film_plasma_freq_thz,1.0
36,film_plasma_freq_thz,film_gamma_thz,-0.07413754613245828
36,film_gamma_thz,film_thickness_um,-0.1706945048603039
36,film_gamma_thz,film_plasma_freq_thz,-0.07413754613245828
36,film_gamma_thz,film_gamma_thz,1.0
37,film_thickness_um,film_thickness_um,1.0
37,film_thickness_um,film_plasma_freq_thz,0.8454446483133709
37,film_thickness_um,film_gamma_thz,-0.17020927509207928
37,film_plasma_freq_thz,film_thickness_um,0.8454446483133709
37,film_plasma_freq_thz,film_plasma_freq_thz,1.0
37,film_plasma_freq_thz,film_gamma_thz,-0.07319598304573738
37,film_gamma_thz,film_thickness_um,-0.17020927509207928
37,film_gamma_thz,film_plasma_freq_thz,-0.07319598304573738
37,film_gamma_thz,film_gamma_thz,1.0
38,film_thickness_um,film_thickness_um,1.0
38,film_thickness_um,film_plasma_freq_thz,0.8450417075091268
38,film_thickness_um,film_gamma_thz,-0.16976051849662582
38,film_plasma_freq_thz,film_thickness_um,0.8450417075091268
38,film_plasma_freq_thz,film_plasma_freq_thz,1.0
38,film_plasma_freq_thz,film_gamma_thz,-0.07233345460247209
38,film_gamma_thz,film_thickness_um,-0.16976051849662582
